,Dengue,Dengue_sma7,Acumulado_21,Acumulado,Populacao,Rt,Susceptiveis,Densidade_Dem,Precipitacao_sma7,Temp_med_7sma,Temp_min_7sma,Umidade_7sma,Vento_mps_7sma
3897,2,2.9,64,260766,2636861,0.91,2376095,8440,0.0,27.5,24.1,67.3,3.6
3898,2,2.7,62,260768,2637325,0.86,2376557,8442,0.0,27.4,24.1,66.9,3.5
3899,2,2.6,61,260770,2637325,0.82,2376555,8442,0.0,27.4,23.9,66.1,3.7
3900,3,2.6,61,260773,2637325,0.82,2376552,8442,0.0,27.3,23.7,66.2,3.6
3901,3,2.6,61,260776,2637325,0.86,2376549,8442,1.1,27.1,23.6,67.6,3.3
3902,3,2.6,61,260779,2637325,0.86,2376546,8442,1.1,27.1,23.5,68.3,3.4
3903,2,2.4,60,260781,2637325,0.81,2376544,8442,1.1,27.1,23.5,68.4,3.3
3904,2,2.4,59,260783,2637325,0.85,2376542,8442,1.1,27.1,23.4,67.6,3.3
3905,3,2.6,59,260786,2637789,0.95,2377003,8443,1.1,27.2,23.6,67.8,3.4
3906,3,2.7,59,260789,2637789,1.06,2377000,8443,1.1,27.3,23.6,68.1,3.1
3907,2,2.6,58,260791,2637789,1.0,2376998,8443,1.1,27.4,23.8,68.5,3.1
3908,3,2.6,57,260794,2637789,1.0,2376995,8443,0.0,27.5,24.0,67.2,3.3
3909,3,2.6,57,260797,2637789,1.0,2376992,8443,0.0,27.5,23.9,66.4,3.3
3910,3,2.7,57,260800,2637789,1.12,2376989,8443,0.0,27.5,23.8,65.4,3.3
3911,3,2.9,57,260803,2637789,1.18,2376986,8443,0.0,27.4,23.6,66.0,3.4
3912,3,2.9,57,260806,2638253,1.11,2377447,8445,0.0,27.3,23.3,66.2,3.4
3913,3,2.9,57,260809,2638253,1.05,2377444,8445,0.0,27.3,23.7,66.8,3.5
3914,2,2.9,56,260811,2638253,1.11,2377442,8445,0.0,27.3,23.5,65.9,3.6
3915,2,2.7,55,260813,2638253,1.06,2377440,8445,0.0,27.3,23.5,65.7,3.7
3916,2,2.6,54,260815,2638253,1.0,2377438,8445,0.0,27.3,23.5,65.6,3.7
3917,2,2.4,53,260817,2638253,0.89,2377436,8445,0.0,27.2,23.7,66.9,3.8
3918,3,2.4,54,260820,2638253,0.85,2377433,8445,0.0,27.3,24.0,67.6,3.7
3919,3,2.4,55,260823,2638717,0.85,2377894,8446,0.0,27.3,24.1,66.8,3.8
3920,3,2.4,56,260826,2638717,0.85,2377891,8446,0.0,27.3,24.0,66.4,3.9
3921,2,2.4,55,260828,2638717,0.85,2377889,8446,0.0,27.4,24.2,66.7,3.8
3922,2,2.4,54,260830,2638717,0.89,2377887,8446,0.0,27.4,24.3,67.0,3.8
3923,2,2.4,53,260832,2638717,0.94,2377885,8446,0.0,27.5,24.4,67.1,3.8
